"Fire_State","Fire_Name","Site_Name","X","Y"
"WA","CedarCreek","Ced1_COR",-1796791.79778606,3058663.44848701
"WA","CubCreek2","Cub1_COR",-1776103.86599292,3077606.2817363
"WA","CubCreek2","Cub2_COR",-1776013.00659933,3067357.52463496
"WA","CubCreek2","Cub3_COR",-1777911.42149909,3073606.27023952
