"dNBR","severity","slope","mass_burnt_pct","surface_consumption","surface_remaining","canopy_consumption","canopy_remaining","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
324,2,15.9329481124878,0,0,1,0,0.875,0,0,0,0,"duet","American","Caldor"
590,3,13.9044151306152,0,0,1,0,0.869565217391304,0,0,0,0,"duet","American","Caldor"
406,3,14.8102407455444,0,0,1,0,0.877777777777778,0,0,0,0,"duet","American","Caldor"
433,3,17.1236228942871,0,0,1,0,0.922222222222222,0,0,0,0,"duet","American","Caldor"
501,3,20.7831859588623,0,0,1,0,0.955555555555556,0,0,0,0,"duet","American","Caldor"
461,3,23.5880069732666,0,0,1,0,0.955555555555556,0,0,0,0,"duet","American","Caldor"
424,3,27.8183155059814,6.08609377543131,0.133818571102218,0.866181428897781,0.00165344144480427,0.920568780777418,121.443620469835,171.644444444444,175,0.000970132191853029,"duet","American","Caldor"
441,3,28.7344627380371,25.3216962549422,0.631712144575057,0.368287855424943,0.0162431094520111,0.883756890547989,559.33155585395,990.722222222222,1042.33333333333,0.00783359966672176,"duet","American","Caldor"
520,3,24.3254566192627,47.5553507702325,0.996300823649062,0.00369917635093794,0.0161515626918996,0.919332308275842,883.881152737525,2013.40860215054,2075.48387096774,0.0122741008708276,"duet","American","Caldor"
585,3,25.5395221710205,52.2674571314166,0.995984856501898,0.00401514349810115,0.00304464095944426,0.921686541836255,883.503445533014,2487.61290322581,2528.38709677419,0.0127968403115031,"duet","American","Caldor"
637,3,27.8932514190674,44.9921129544576,0.995499268738156,0.00450073126184414,0.0204402420948236,0.924004202349621,882.272715928819,2463.66666666667,2543.33333333333,0.0143339304219505,"duet","American","Caldor"
559,3,28.6733741760254,41.8948092328178,0.994924540361262,0.00507545963873771,0.0360559827844355,0.897277350548898,888.439013671875,2151.78888888889,2266,0.0175827208848457,"duet","American","Caldor"
581,3,30.0143871307373,39.73930636247,0.994711691733048,0.00528830826695263,0.0384976417851455,0.861502358214855,905.606316460503,1668.01111111111,1930.66666666667,0.0187123540674949,"duet","American","Caldor"
942,4,31.3449859619141,33.1567753050062,0.995727276575798,0.00427272342420262,0.0333556316018521,0.933311035064815,957.247880045573,1168.23333333333,1487.66666666667,0.0141822699219726,"duet","American","Caldor"
760,3,32.623966217041,35.4276511828105,0.996312292919683,0.00368770708031678,0.0247162579498828,0.964172630939006,987.298515489366,886.844444444444,1171,0.0154397900149585,"duet","American","Caldor"
577,3,32.950080871582,49.4654593202803,0.996404449340918,0.00359555065908194,0.0845047255025235,0.859939718941921,932.075278049045,841.655555555556,1249,0.0153635499126621,"duet","American","Caldor"
364,2,37.1235427856445,28.5445444583893,0.498829230511457,0.501170769488543,0.0763758528509943,0.790290813815672,441.976054212782,452.388888888889,706.333333333333,0.0060468451566016,"duet","American","Caldor"
412,3,41.264232635498,0.136320078814471,0.00121523922821476,0.998784760771785,0.00844634318060905,0.806368471634206,3.15632064254196,0.240740740740741,22.2222222222222,1.2456299305928e-06,"duet","American","Caldor"
661,3,41.6204566955566,0,0,1,0,0.777777777777778,0,0,0,0,"duet","American","Caldor"
522,3,15.211109161377,0,0,1,0,0.909722222222222,0,0,0,0,"duet","American","Caldor"
390,3,15.0574741363525,0,0,1,0,0.891304347826087,0,0,0,0,"duet","American","Caldor"
317,2,16.274055480957,0,0,1,0,0.903703703703704,0,0,0,0,"duet","American","Caldor"
423,3,20.1637077331543,0,0,1,0,0.918518518518519,0,0,0,0,"duet","American","Caldor"
388,3,22.0846786499023,0,0,1,0,0.938888888888889,0,0,0,0,"duet","American","Caldor"
485,3,23.8658390045166,2.82086306457166,0.0610731696650736,0.938926830334926,0.00446289747386199,0.958500065489101,57.383733565719,57.612962962963,93.1111111111111,0.000781627350550377,"duet","American","Caldor"
